,CURRENTCLUB
PlayerId,ClubId
168257,1268
271390,750
212420,750
109039,750
83910,750
27307,1421
30473,1269
88327,1421
27390,1421
312879,1421
127066,1421
22820,14171
19045,750
272638,750
290605,750
5614,750
34758,995
37966,995
38536,750
44625,1423
160404,1423
31208,1423
178342,1423
52027,750
138410,1423
127053,750
43975,1423
40928,1421
75224,1423
215528,595
5680,595
25115,595
127118,595
303415,595
17693,750
37511,595
110268,595
17441,595
204779,1423
111511,595
308433,595
3575,595
165351,14171
156639,14171
43960,1423
17244,595
164928,14171
12957,14171
164919,14171
47741,1269
121940,1269
240199,1269
232668,1269
287940,1269
281683,1269
231221,995
139925,1269
277845,14171
5627,14171
53444,499
3115,40
126659,1423
23934,40
283962,415
41609,499
27661,1041
147058,1041
302886,244
139955,969
38473,969
205402,969
127144,244
205393,969
77845,244
12275,618
197693,631
13886,631
170344,1041
31089,1082
118275,14171
69101,244
237466,415
172154,415
192540,750
5942,415
237456,415
127247,415
27491,234
238661,40
23897,415
159838,40
24459,415
68283,40
33572,40
194447,499
4425,499
40617,499
280727,499
133835,499
198391,415
57355,40
42787,167
164769,162
1572,162
28306,244
50135,39
36294,1158
4531,192
38100,41
148096,41
1428,60
170952,417
411,44
104914,42
48262,192
27611,24
20444,24
33729,24
1426,79
43824,79
93572,24
6131,79
93561,24
1335,42
80207,42
124456,42
55044,417
40688,417
124461,41
57343,417
316245,417
156489,417
69396,41
63955,60
192886,60
73333,60
93658,60
103667,60
127242,60
96374,60
205525,1158
82018,60
241077,1082
12912,192
124885,192
94174,42
269586,192
56384,192
190145,192
139655,192
21227,39
1122,41
5635,40
892,39
245186,192
3817,39
93869,44
63384,42
1381,44
46179,167
275938,192
5469,162
14974,39
39897,167
45674,167
15486,167
42463,4
93534,4
823,4
124441,4
14856,167
124403,4
1094,4
120834,4
85201,4
1150,4
1095,44
5281,162
164967,162
158530,15
123558,15
7358,4
179408,273
18416,3368
85298,15
29178,331
268708,367
258,33
316419,1147
3890,1147
35748,1147
5879,1147
84133,366
297785,366
307512,1147
246616,366
193584,273
230233,366
99348,366
8323,366
21345,4
29061,366
230219,366
38124,366
56543,366
93584,24
231011,1147
44687,1147
12502,1147
44679,1147
33535,366
310796,1147
7818,366
23898,1147
22632,1147
66608,306
198210,306
36911,1147
77207,366
308432,1147
308428,1147
57135,1147
22645,1147
284118,1147
331977,1147
66410,1147
26063,18
42466,1147
188277,18
64545,367
89215,1147
227965,367
227954,367
315563,1147
124244,367
176612,367
129248,1147
94570,331
291054,331
30747,331
60732,1147
315751,366
8163,367
28002,331
8746,366
158792,331
298276,331
29187,3368
277,3368
191754,3368
73257,3368
9711,367
15761,331
88082,273
58789,331
39073,273
119037,33
69611,3368
35532,331
7739,331
105577,16
18833,33
1073,16
7563,15
59527,331
34053,273
195954,33
57950,940
67538,3709
29122,33
75314,1084
301717,150
55884,1084
247906,1084
2233,3368
221659,368
67539,1050
75816,368
184218,368
99632,368
77038,3368
101842,681
63058,681
89330,681
221076,1084
197128,681
217721,13
7980,13
221306,13
249463,13
156799,621
156840,621
315312,150
7612,13
255979,150
76984,150
199134,150
187674,150
156892,150
199132,150
119537,150
76701,681
44860,150
23287,150
137162,150
250010,533
149412,533
82878,533
130227,533
124785,533
336103,150
1474,533
85301,1050
254039,150
31050,150
197131,681
319539,150
123579,86
85365,1050
117482,86
197578,150
68649,86
109855,533
221984,3709
273597,3709
58163,533
52647,3709
51545,940
224098,940
57922,940
162652,533
51550,940
57941,940
86895,86
176311,3709
93926,86
87409,150
94205,82
80060,82
101015,8024
75339,8024
31108,2424
44700,150
112991,1301
166666,131
237665,1301
72771,1301
118520,16795
7841,16795
93047,16795
55378,982
167204,1301
38412,16795
72896,982
236549,2990
44859,940
84700,2990
2726,2990
177544,982
162532,982
234044,8024
290780,982
39932,2995
124784,982
25220,982
63695,16795
4740,27
310468,1465
159162,27
227685,1465
39689,1465
210120,2990
56315,2990
291451,1465
310482,1465
137637,982
57930,16795
198400,16795
158704,16795
7353,16795
67866,16795
287305,16795
138267,1301
204023,1301
191192,1301
186922,1301
64635,1301
237316,1301
240906,1301
256695,1301
150144,1301
239149,1301
147881,1301
13326,1301
7537,131
213351,2995
194019,1465
103793,2995
129224,2995
24709,2995
44778,2995
7594,131
25825,2995
279935,2995
14149,2424
17352,1465
98320,2424
211083,2424
34395,2424
210057,2424
69441,2424
31109,2424
92117,2424
52332,2424
164044,2424
38662,2424
78813,8024
170359,2990
100220,8024
3530,82
9814,2424
37574,8024
138446,982
65060,16795
158488,2990
160671,1049
298185,1049
225477,2995
146721,2861
168338,520
169029,520
58009,1531
192992,2727
166548,172
262022,172
98078,172
111786,1411
5881,172
92953,1531
74667,1049
70890,1531
7985,1531
129374,1531
224091,1531
33870,2727
240912,1075
198047,714
102463,2727
38817,714
8019,714
200799,2727
191866,1531
138084,2727
74011,2727
40370,2727
23306,1531
30672,2727
26244,720
44057,720
203108,714
151471,2727
186604,2727
260606,172
122251,2727
171146,2727
13354,2727
95377,2727
134400,720
65235,520
86876,2727
13037,520
29544,2727
157385,520
234188,520
42717,520
149618,2861
197739,2861
182431,520
186187,2861
49031,2861
232127,2861
62831,28643
22753,28643
93728,28643
51864,28643
26336,2727
157668,28643
104546,28643
70645,2861
101133,28643
85873,28643
94184,2861
239255,2861
126746,714
43982,1411
89581,2861
13894,2861
13001,520
39928,1411
124697,2861
42949,1411
13286,1411
102186,1411
48536,1411
152745,1411
13090,2727
21666,1411
28347,1411
15567,1411
30553,1411
199909,1411
124125,1411
276428,520
129930,28643
118294,1411
42399,1411
44060,1411
279255,204
22877,354
101029,354
236964,2457
23976,1411
58327,3057
310759,3057
56780,601
103305,3057
63496,4128
36040,4128
3176,2282
105502,4128
146210,4128
278513,498
291235,11127
43989,11127
287986,11127
124234,4128
25060,11127
165820,11127
110375,11127
197851,11127
7784,498
57609,11127
319548,11127
16551,11127
122722,2282
15216,2282
55420,4128
130345,3057
189437,3057
9586,11127
92161,3057
20714,3057
203377,1184
55263,1184
194435,498
2956,2457
74865,4128
25398,2457
45357,2457
292221,2457
180189,2457
235610,2457
289538,1184
41616,2457
101088,1184
168125,2457
185147,2457
142277,354
258424,354
42812,4128
140780,354
15885,204
222632,204
46286,354
277972,204
7448,204
44424,354
321569,204
15409,204
147007,204
183204,2457
38793,204
111049,601
110671,204
288153,601
222062,204
33848,601
296674,601
211017,601
27234,601
274083,354
110728,3057
17930,204
119476,1083
230210,294
37521,16704
284744,2420
14118,16704
45571,157
73138,157
127813,2696
321567,601
170627,932
288252,932
66133,2696
25023,2696
271490,2696
113919,2696
149698,2698
45341,121
26462,121
15112,2696
105261,2696
90471,2696
1075,121
16095,2696
212233,2696
99510,16704
32233,157
49656,157
59872,157
73980,157
113130,157
105504,232
113914,2696
15872,2698
79232,2698
206553,121
35989,16704
182216,294
322526,1083
322524,1083
271891,1083
36903,1083
56797,2420
182429,2698
85753,2420
210714,2420
215817,2420
285621,3725
70364,3725
72150,3725
138691,1184
25049,2696
297771,2439
166273,2439
297623,2439
51420,2439
285602,2439
297772,2439
124170,1085
17292,2425
34097,2425
249961,3508
51936,2439
234615,2698
35964,16704
51542,3508
183968,336
255436,3508
195871,3508
185354,3508
255453,3508
284746,2425
27303,336
268055,1083
197868,2425
30543,2425
123628,2425
306463,1085
234577,1085
75144,1085
212234,2420
62233,1085
286837,1085
168106,1085
280739,3508
149496,1083
112985,1085
188689,2425
133822,3508
41037,2439
214273,964
38790,28095
144702,964
170611,3729
40027,5818
33130,2861
166735,964
249644,520
348094,2861
193882,2999
58813,2999
323963,520
174706,3302
65233,3302
184397,1003
49101,1003
284763,1003
10501,1003
218086,1003
121269,1003
295652,1003
3273,1003
48411,1003
163532,1003
13371,2861
12807,2999
120599,1132
197660,1132
93321,1132
129533,133
320424,1132
36894,1132
11756,1132
57915,1132
251883,3302
14944,964
221311,3302
7989,3302
7945,3302
187673,3302
217149,3302
58774,3302
9218,1132
210142,3302
85326,3302
141344,2999
98063,2999
193585,2999
27053,1003
279614,2999
31090,2999
49795,1533
44514,1533
193076,2999
119622,1533
95483,1533
51547,3302
71601,1533
257813,1533
53455,520
252688,3302
71787,520
129591,520
153067,520
7330,1132
291323,520
9665,520
18091,1533
40632,520
9602,520
122994,520
9638,520
37399,1533
13111,520
44094,2451
331571,2861
286042,520
13061,2861
186176,2451
132398,520
90552,2861
355497,2861
119191,5818
62065,5818
40028,5818
148358,5818
13743,2861
122647,133
109154,133
103110,5818
45531,133
161046,133
300138,16704
248576,1132
24118,16704
256859,16704
300158,16704
298565,16704
232495,16704
300159,16704
195064,27
37525,5818
13175,2503
158402,2503
267556,2503
210711,2503
345053,2503
287931,16704
55866,3302
349947,2503
13964,2503
291986,2503
171043,2503
68560,2503
258689,3729
143794,2503
55692,3729
277506,3729
85766,2503
72175,3729
52475,3729
60191,3729
282382,3729
58415,3729
27019,3729
124733,2861
180020,3729
117847,3729
51912,3729
349917,3729
47571,3729
129038,3729
260298,3729
21354,2503
365476,3729
262711,3729
154612,3729
288172,3729
80840,520
61389,3729
148498,3729
25651,3729
72877,3729
15894,133
217036,3729
106539,28095
214258,3729
111867,28095
55360,3729
148484,28095
89812,3729
53331,2439
119478,3729
234729,2439
73986,2439
69011,28095
49899,28095
131172,465
89561,968
270242,968
62462,5817
347610,3729
85223,2293
48897,1177
295442,5572
13849,28956
175739,2553
144451,20698
104865,3729
7394,20698
36478,20698
97205,28095
173468,20698
202594,20698
51819,20698
110690,20698
56837,20698
133829,20698
78254,20698
144449,20698
93085,20698
300141,5572
182687,5572
92740,5572
139590,5572
77471,5572
77484,5572
83696,5572
76075,2439
274294,5572
373669,20698
182680,5572
337458,19771
330190,19771
56587,19771
29642,19771
346153,19771
144788,19771
13389,19771
47389,20698
83230,19771
337459,19771
36813,19771
22952,19771
257791,19771
7090,19771
182693,5572
72120,20698
334369,5572
203662,5572
336086,5572
238762,5572
13063,5572
333430,5572
88983,2553
16519,2553
69412,2553
9161,2553
108318,19771
121403,2553
90936,20698
82244,2553
282679,28956
138789,28956
96824,28956
18397,28956
41788,28956
339560,28956
127693,5572
35328,28956
242983,19771
156568,5572
75521,28956
310565,28956
8840,2293
336268,2293
56816,28956
47431,28956
4763,5817
192504,2553
282227,5817
4403,5817
37290,5817
43380,5817
13372,968
9604,968
212931,968
261912,968
225178,2293
20306,968
34382,968
348082,968
36189,968
199223,2293
10267,968
104219,968
301584,968
31821,5817
137153,465
14558,465
9616,465
312531,465
95967,19771
222740,465
62077,465
11378,465
331074,465
331094,465
9647,968
16971,5817
304762,465
276507,968
247415,465
10029,465
11354,465
186292,465
193891,465
111837,465
132213,465
73720,465
68436,5572
77639,465
13543,465
14962,1177
95753,1177
342083,465
368618,1177
260160,1177
46004,1177
48858,1177
22495,1177
15125,1177
92548,465
20844,5817
16117,862
334723,800
47769,1177
23367,862
132210,465
65264,465
29035,398
6020,749
163689,749
214635,416
136746,430
287631,276
49385,3216
76902,276
240670,6574
52328,1038
56889,458
269469,430
65929,1038
44832,1038
203150,130
73048,276
17171,276
84846,1038
287686,276
55472,276
337135,276
238953,276
7611,276
339787,430
286293,430
290716,430
256371,430
5908,430
28841,749
28868,749
287640,749
5896,430
113797,749
299944,276
44294,749
62725,1038
76406,130
287747,130
37633,276
90118,130
287647,130
222905,130
324472,749
125920,6894
332046,6894
6949,6894
371343,6894
261041,749
293900,6894
35631,6894
341133,130
374087,6894
371344,6894
204404,6894
233654,1038
240365,749
192843,6894
22594,130
208596,6894
58919,6894
33448,130
285928,130
37124,130
285916,130
200393,6894
10504,6894
256689,130
287636,130
56817,130
27861,6894
290087,749
341134,130
