"ClubID","ClubName","FullClubName","MarketValue","SquadSize","AverageAge","ForeignersNumber","ForeignersPercentage","NationalTeamPlayers","StadiumName","StadiumSeats","NetTransferRecord","CoachName"
"1519","dundee-united-fc","Dundee United Fc","9.16","33","24.3","11","33.3","3","Tannadice Park","14223","+Â£2.37m","Tam Courts"
"371","celtic-glasgow","Celtic Glasgow","69.84","38","24.5","24","63.2","16","Celtic Park","60832","+Â£9.98m","Ange Postecoglou"
"124","glasgow-rangers","Glasgow Rangers","99.41","31","26.6","22","71","16","Ibrox Stadium","50987","+Â£10.78m","Giovanni van Bronckhorst"
"1095","es-troyes-ac","Es Troyes Ac","55.94","31","26.5","16","51.6","6","Stade de l'Aube","21877","Â£-19.62m","Bruno Irles"
"1420","sco-angers","Sco Angers","63.95","26","26.4","13","50","8","Stade Raymond Kopa","16381","+Â£14.67m","GÃ©rald Baticle"
"903","hibernian-fc","Hibernian Fc","14.4","26","26.2","10","38.5","4","Easter Road Stadium","20250","+Â£2.97m","Lee Johnson"
"40","fc-girondins-bordeaux","Fc Girondins Bordeaux","75.51","31","25.2","19","61.3","11","Matmut Atlantique","42052","+Â£7.47m","David Guion"
"61825","fk-minaj","Fk Minaj","4.14","24","25.9","3","12.5","1","Avangard","12000","+Â£360Th.","Volodymyr Sharan"
"29","fc-everton","Fc Everton","380.48","28","27.4","14","50","10","Goodison Park","39571","+Â£5.85m","Frank Lampard"
"3911","stade-brest-29","Stade Brest 29","77","26","25.7","8","30.8","5","Stade Francis-Le BlÃ©","15097","+Â£16.83m","Michel Der Zakarian"
"995","fc-nantes","Fc Nantes","98.51","25","26.2","11","44","7","Stade de la Beaujoire","37463","+Â£7.47m","Antoine KombouarÃ©"
"667","rc-strassburg-alsace","Rc Strassburg Alsace","103.1","24","26.2","10","41.7","5","Stade de la Meinau","29000","+Â£10.35m","Julien StÃ©phan"
"1003","leicester-city","Leicester City","463.32","28","27.1","18","64.3","14","King Power Stadium","32273","Â£-57.24m","Brendan Rodgers"
"1421","stade-reims","Stade Reims","118.4","30","23.8","21","70","13","Stade Auguste-Delaune","21684","Â£-855Th.","Ã“scar GarcÃ­a"
"618","as-saint-etienne","As Saint Etienne","86.67","29","25.3","15","51.7","8","Stade Geoffroy-Guichard","42000","Â£-540Th.","Laurent Batlles"
"1082","losc-lille","Losc Lille","207.99","23","26.3","18","78.3","11","Stade Pierre-Mauroy","50186","+Â£49.91m","Jocelyn Gourvennec"
"338","dynamo-kiew","Dynamo Kiew","87.3","24","25.6","0","","13","NSK Olimpiyskyi","70050","+Â£16.83m","Mircea Lucescu"
"244","olympique-marseille","Olympique Marseille","243.54","28","24.3","17","60.7","14","Orange VÃ©lodrome","67394","Â£-35.66m","Jorge Sampaoli"
"1041","olympique-lyon","Olympique Lyon","298.04","28","24.6","15","53.6","9","Groupama Stadium","59186","+Â£65.41m","Peter Bosz"
"417","ogc-nizza","Ogc Nizza","221.63","26","24.5","17","65.4","7","Allianz Riviera","36178","Â£-26.91m","Christophe Galtier"
"583","fc-paris-saint-germain","Fc Paris Saint Germain","736.16","34","26.1","25","73.5","19","Parc des Princes","49691","Â£-70.65m","Mauricio Pochettino"
"65","spvgg-greuther-furth","Spvgg Greuther Furth","28.89","28","24.9","11","39.3","2","Sportpark Ronhof | Thomas Sommer","16626","+Â£1.94m","Stefan Leitl"
"80","vfl-bochum","Vfl Bochum","45.9","30","27.2","12","40","5","Vonovia Ruhrstadion","27599","+Â£315Th.","Thomas Reis"
"162","as-monaco","As Monaco","339.98","29","24.6","29","100","8","Stade Louis-II","18523","Â£-9.68m","Philippe Clement"
"465","st-mirren-fc","St Mirren Fc","6.35","23","25.5","12","52.2","1","The SMISA Stadium","8023","+-0","Stephen Robinson"
"89","1-fc-union-berlin","1 Fc Union Berlin","73.89","28","27.3","11","39.3","7","Stadion An der Alten FÃ¶rsterei","22012","+Â£1.35m","Urs Fischer"
"10","arminia-bielefeld","Arminia Bielefeld","51.44","25","25","16","64","4","SchÃ¼coArena","26515","Â£-8.45m","Marco Kostmann"
"347","fc-metz","Fc Metz","70.16","31","25.5","18","58.1","7","Stade Saint-Symphorien","26700","+Â£17.10m","BenoÃ®t Tavenot"
"44","hertha-bsc","Hertha Bsc","81.5","31","25.8","16","51.6","6","Olympiastadion Berlin","74649","+Â£18.99m","Felix Magath"
"60","sc-freiburg","Sc Freiburg","142.61","27","25.3","11","40.7","7","Europa-Park Stadion","34700","+Â£4.55m","Christian Streich"
"79","vfb-stuttgart","Vfb Stuttgart","148.77","31","22.8","18","58.1","7","Mercedes-Benz Arena","60449","+Â£22.56m","Pellegrino Matarazzo"
"533","tsg-1899-hoffenheim","Tsg 1899 Hoffenheim","180.63","30","25.6","17","56.7","14","PreZero Arena","30150","+Â£765Th.","Sebastian HoeneÃŸ"
"3","1-fc-koln","1 Fc Koln","84.67","28","25.3","11","39.3","7","RheinEnergieSTADION","50000","+Â£20.61m","Steffen Baumgart"
"82","vfl-wolfsburg","Vfl Wolfsburg","200.43","28","25.1","18","64.3","12","Volkswagen Arena","30000","Â£-53.85m","Michael Frontzeck"
"24","eintracht-frankfurt","Eintracht Frankfurt","201.6","32","25.4","20","62.5","13","Deutsche Bank Park","51500","+Â£12.65m","Oliver Glasner"
